"Cod. Livro","Tp. Situação","Cod. Curso","Cod. Editora","Cod. Genero","Ds. Titulo","Ds. Autor","Nr. Volume","Nr. Volumede","Nr. Corredor","Nr. Prateleira","Nr. Andar","Qt. Exemplar","Dt. Aquisição","Ds. Origem","Ds. Complemento","Ds. Forma","Ds. Cidade","Nr. Ano","Ds. Barra","Tp. Ensino","Ds. Edição"
"4615","1","1","727","44","1935 A REVOLTA VERMELHA","BRENER JAYME","1","1","","4","12","1","27/07/2006","","","","SAO PAULO","1994","","1",""
"4613","1","1","727","44","1935 A REVOLTA VERMELHA","BRENER JAYME","1","1","","4","12","1","27/07/2006","","","","SAO PAULO","1994","","1",""
"8125","1","1","836","44","A REVOLTA DA NATUREZA","MACARIO PEDRO","1","1","","3","11","1","01/09/2004","","","","RIO DE JANEIRO","1989","","1",""
"7925","1","1","836","44","A REVOLTA DA NATUREZA","MACARIO PEDRO","1","1","","3","11","1","01/09/2004","","","","RIO DE JANEIRO","1989","","1",""
"7924","1","1","836","44","A REVOLTA DA NATUREZA","MACARIO PEDRO","1","1","","3","11","1","01/09/2004","","","","RIO DE JANEIRO","1989","","1",""
"8383","1","1","840","44","A REVOLTA DAS BORBOLETAS","PORTILHO MARIA HELENA","1","1","","1","3","1","01/09/2004","","","","RIO DE JANEIRO","1986","","1",""
"482","1","1","771","44","A REVOLTA DOS PERUS","TELLES CARLOS QUEIROZ","1","1","","3","11","1","20/02/2002","DOACAO","","","RIO DE JANEIRO","1996","","1",""
"11227","1","1","1323","10","A REVOLTA DOS POSSEIROS","GOMES IRIA ZANONI","1","1","","","","1","22/06/2006","DOACAO GOV PR","","","CURITIBA","2002","","1",""
